Question Text,Option 1 Text,Option 2 Text,Option 3 Text,Option 4 Text Answer
You are assessing a suspected left Achilles tendon injury. Which finding does not suggest a ruptured Achilles tendon?,Palpable defect,Absent Achilles reflex,Lack of toe off during gait,Negative Royal London Hospital Test
You are a physical therapist that is evaluating a patient's hip range of motion. Which pattern of limitation is typically considered to be a capsular pattern?,"Gross limitation of extension, adduction and internal rotation","Gross limitation of flexion, adduction and external rotation","Gross limitation of extension, abduction and external rotation","Gross limitation of flexion, abduction and internal rotation"
You are a physical therapist that is evaluating a patient's shoulder range of motion. Which pattern of limitation is typically considered to be a capsular pattern?,"Extension, flexion, medial rotation","Lateral rotation, flexion, medial rotation","Extension, flexion, lateral rotation","Lateral rotation, abduction, medial rotation"
You are a physical therapist that is evaluating a patient's midtarsal joint motion. Which pattern of limitation is typically considered to be a capsular pattern?,"Dorsiflexion, eversion, abduction, medial rotation","Dorsiflexion, inversion, adduction, medial rotation","Dorsiflexion, eversion, adduction, medial rotation","Dorsiflexion, plantarflexion, adduction, medial rotation"
"Which of the following aquatic exercises would facilitate a patient shifting the pelvis over the affected leg, while maintaining an extended hip and trunk.",Marching in place,Flutter kick in prone,Treading water,Ring toss while standing 
A 4 year old male diagnosed with pediatric meningocerebritis is referred to therapy for manual assistance in breathing activities. Indiciations for manual assistance would incude?,"Rapid, deep inspiration",Angina Pectoris,Frequent Sighing,Incomplete use of muscles for deep inspiration
Proper and safe technique is crucial for joint mobilisations. Which of the following statements are inaccurate?,One joint at a time is moved in a single direction,Patient comfort is a priority,Commence with grade I when possible,Joint mobilizations occured in a closed packed position
A patient has limited knee flexion range of motion. Which mobilization technique would be the most optimal to increase knee flexion?,Anterior glide of the tibia,Superior glide of the patella,Anterior glide of the fibula head,Dorsal glide of tibia
A patient has limited knee extension range of motion. Which mobilization technique would be the most optimal to increase knee extension?,Anterior glide of the fibula head,Superior glide of the patella,Dorsal glide of tibia,Anterior glide of the tibia
A posterior glide of the shoulder is to facilitate which of the following arthokinematics to the glenohumeral joint?,Extension and abduction,Flexion and external rotation,Flexion and abduction,Flexion and internal rotation
You are treating a baseball pitcher with subacromial impingement. Which glide of the shoulder is to increase shoulder abduction?,Posterior glide,Anterior glide,Superior glide,Inferior glide
"A magnetic resonance imaging revealed a tear in the medial meniscus of the right knee. As you reflect on your initial evaluation of this patient prior to imaging, what special tests would you expect to be positive?",Lachman's,Swipe Test,Pivot Shift,Thessaly's
"A magnetic resonance imaging revealed a tear in the anterior cruciate ligament of the right knee. As you reflect on your initial evaluation of this patient prior to imaging, what special tests would you expect to be positive?",Thessaly's,Swipe Test,McMurray's,Lachman's
Injury to the lateral cord of the brachial plexus would most likely involve damage to the ____ nerve,"Musculocutaneous, Axillary, Median","Axillary, Radial","Median, Ulnar","Musculocutaneous, Median"
Injury to the posterior cord of the brachial plexus would most likely involve damage to the ____ nerve,"Musculocutaneous, Axillary, Median","Ulnar, Radial","Median, Ulnar","Axillary, Radial"
Injury to the medial cord of the brachial plexus would most likely involve damage to the ____ nerve,"Musculocutaneous, Axillary, Median","Axillary, Radial","Musculocutaneous, Median","Median, Ulnar"
"After assessing the respiratory status of a patient with a C6 spinal cord injury, which of the following is accurate?",Partial innervation of the diaphragm,Normal ventilary reserve,Assistance via a ventilator,Full epigastric rise in the supine
"After assessing the respiratory status of a patient with a C4 spinal cord injury, which of the following is accurate?",Partial innervation of the diaphragm,Full epigastric rise in the supine,Normal ventilary reserve,Assistance via a ventilator
You are applying electrical stimulation to a patient's proximal biceps tendon rupture. Which of the following types of current has the lowest average current?,Low voltage,Interferential,Russian,High voltage
"You are treating a 60 year old school teacher recovering from a cerebral vascular accident. The patient has poor strength on their left ankle joint, which significantly impaired sesnation for pressure, touch and sharp stimuli. Which orthosis is most appropriate?",Metal upright ankle foot orthosis,Polypropylene ankle-foot orthosis,Posterior leaf spring orthosis,Metal upright knee-ankle-foot orthosis
You are treating a 8 year old child with cerebral palsy. The patient has poor strength on their left ankle joint presenting in a drop foot. Which orthosis is most appropriate?,Metal upright ankle foot orthosis,Polypropylene ankle-foot orthosis,Metal upright knee-ankle-foot orthosis,Posterior leaf spring orthosis
Which of the following symptoms is not indicative of chronic bronchitis,Long term irritation of the trachea and bronchi,Increased mucus production,Decreased vital capacity,Result of an allergic reaction
"You have completed an assessment of an 8 month old infant. Your findings include the patient bringing hand to mouth, requiring assistance for ring sitting, slight head lag and unable to reach across the midline for objects. The child is?",Following normal development,Presenting with cerebral palsy,Presenting with autistic spectrum disorder,Following delayed development
"You observe your patient, who has a right above knee amputation, ambulate with a vault on their right swing phase and occasional circumduction. The most likely cause of this deviation is?",Their prosthesis is too short,Weak hip abductors on the right,Weak hip abductors on the left,Their prosthesis is too long
"In normal pediatric development, which movements do not occur prior to nine months?",Rolling prone to supine,Sitting independently,Creeping,Cruising
You observe your patient to have a limitation of an active straight leg raise to 60 degrees. You plan to use a contract-relax technique to improve their range. What muscle groups should you target?,Abductors and hip flexors,Adductors and hip extensors,Quadriceps and hip flexors,Hamstrings and hip extensors
You observe your patient to have a limitation of a prone knee bend to 60 degrees. You plan to use a contract-relax technique to improve their range. What muscle groups should you target?,Abductors and hip flexors,Hamstrings and hip extensors,Adductors and hip extensors,Quadriceps and hip flexors
You observe your patient to have a positive Ober's Test. You plan to use a contract-relax technique to improve their range. What muscle groups should you target?,Adductors and hip extensors,Hamstrings and hip extensors,Quadriceps and hip flexors,Abductors and hip flexors
You observe your patient to have a positive FABER Test. You plan to use a contract-relax technique to improve their range. What muscle groups should you target?,Abductors and hip flexors,Hamstrings and hip extensors,Quadriceps and hip flexors,Adductors and hip extensors
"An 80 year old man is using a straight cane for ambulation after a total hip arthoplasty on the left hip. As he is turning 180 degrees, you recommend him to?",Turn but keep the cane in front,Turn towards the affected side,Turn towards your preferred side,Turn away from affected side
What is the condition whereby the hyaline cartilage of the patella is irritated and fragmenting called?,Patellofemoral pain ,Osgood-Schlatter's,Plica Patella,Chondromalacia patella
"Sensory testing of your client reveals impairment of light touch to the anterolateral thigh, lateral calf and sole of the foot. The respective dermatomes affected are?","L3, L4","L1, L3, L5","L1, L4, S1","L2, L5, S1"
"Sensory testing of your client reveals impairment of light touch to the medial thigh, medial calf and foot. The respective dermatomes affected are?","L1, L4, S1","L1, L3, L5","L2, L5, S1","L3, L4"
Facilitation of muscle tone is performed through all of the following except?,Approximation,Icing,Vibration,Prolonged stretching
"A treatment program is tailored to have aggressive stretching, moderate exercise, energy conservation and late morning sessions. This program is tailored for?",Guillain-Barre Syndrome,Myasthenia Gravis,Hashimoto's disease,Multiple Sclerosis
"In an above knee prosthesis, a quadrilateral socket absorbs the majority of the body's weight on the ___ wall?",Medial,Anterior,Lateral,Posterior 
You are treating a patient with moderate chronic obstructive pulmonary disease performs an exercise test that will stress them to the point of limitation. Which of the following findings would not require stopping the test?,Maximal shortness of breath,PaO2 is less than 55 mmHg,Diastolic blood pressure decreases by 20 mmHg,Systolic blood pressure greater than 160 mmHg
You are treating a patient with moderate chronic obstructive pulmonary disease performs an exercise test that will stress them to the point of limitation. Which of the following findings would not require stopping the test?,Systolic blood pressure greater than 200 mmHg,PaO2 of less than 60 mmHg,Diastolic blood pressure decreases by 25 mmHg,PCO2 of 50 mmHg
You are assessing a hockey player with a lateral ankle injury and using ultrasound over their peroneal longus and brevis tendons. The most appropriate location for palpation is?,Inferior to the sustentaculum tali,Over the sinus tarsi,Anterior to the lateral malleolus,Posterior to the lateral malleolus
You are assessing  a basketball player with a lateral ankle sprain of the anterior talofibular ligament.  The most appropriate location for palpation is?,Inferior to the sustentaculum tali,Anterior to the lateral malleolus,Posterior to the lateral malleolus,Over the sinus tarsi
You are assessing a runner with a suspected flexor hallucis longus tendinopathy.  The most appropriate location for palpation is?,Anterior to the medial malleolus,Over the navicular,Posterior to the medial malleolus,Inferior to the sustentaculum tali
You are assessing  a high jumper with a suspected tibialis posterior tendinopathy.  The most appropriate location for palpation is?,Inferior to the sustentaculum tali,Anterior to the medial malleolus,Posterior to the medial malleolus,Over the navicular
You are performing a manual muscle test of the supinator. To isolate the supinator and minimize the action of the biceps you should position the elbow in___?,30 degrees of elbow flexion,60 degrees of elbow flexion,90 degrees of elbow flexion,Terminal Elbow Flexion
A patient involved in a cardiac rehabilitation program exercises on a treadmill. While exercising the patient reports that their levels of perceived exertion as a 7 on Borg's 10 point scale. Which words appropriately describe his perceived exertion?,Weak,Moderate,Very strong,Strong
"Laboratory values reveals that a patient post chemotherapy has a platelet count of 10, 000 uL. Which activity would be the most appropriate for the patient based on the platelet value?",Bed rest,Stationary Cycling,Resistance Training,Active range of motion
You observe a patient with an above knee prothesis in ambulation practice. You note that the patient tends to circumduct the involved lower extremity. What is a possible anatomic cause for this type of gait deviation? ,Weak hip extensors,Hip Flexion,Short amputation limb,Abduction contracture
When cadaver skin is used by a plastic surgeon to close a wound for someone with extensive burns. This type of graft is?,A xenograft,An autograft,A heterograft,An allograft
You are treating a skier with a right medial collateral ligament sprain and identify some edema as the first entry of your problem list. Which of the following short term goals is most appropriate?,Decrease edema by 1 cm,Decrease edema by 1 cm in 2 weeks,Decrease knee circumferential measurements by 1 cm at a level of 3 cm and 5 cm above the knee,Decrease knee circumferential measurements by 1 m at a level of 2 cm and 5 cm above the superior pole of the patella in 2 weeks
You are treating a patient with a C6 spinal cord injury and have them positioned on a tilt table at 60 degrees. They begin to complain of dizziness and nausea. The most appropriate response is to?,Lower the tilt table by 10 degrees and remove the patient's abdominal binder,Leave the table at 60 degrees and call for medical assistance,Monitor the patient's vitals and leave the tilt table at 60 degrees,Lower the tilt table to horizontal and monitor the patient's vital signs
"If there is a leg length disreprancy is 28.4 inches when taken in supine and 30.2 inches in standing, the leg length disreprancy is likely due to?",Poor standing posture,Pelvic asymmetry,Actual leg length difference,Insufficient information
"You are evaluating patient with quadriplegia with the following results: retention of 70% vital capacity, 8 syllables per breath, able to mobilize clear secretions from lungs. What level of injury does this appropriately describe?",C2-C3,C4-C5,T2-T3,C7-C8
"If the knee bolt of an above knee prothesis is in lateral rotation, what gait deviation would you expect to see?",Lateral whip,Vaulting,Foot slap,Medial whip
You are assessing a patient's gait. You observe that the patient plantarflexes from neutral to 15 degrees from heel strike to foot flat. This is indicative of?,Early terminal stance,Decreased ankle motion,Late terminal stance,Normal gait pattern
You identify long lying sit ups and double leg raises as potentially harmful strengthening exercises. What does not occur during these specific exercises?,Psoas muscle contraction compresses and shears the lumbar spine,Fifth lumbar vertebrae slides forward on the sacrum,Lumbar disks are compressed,Decrease in lumbar lordosis
"As gait speed increases, which of the following is inaccurate?",Stride length increases,Cadence increases,Width of the base of support decreases,Angle of toe out increases
Which of the following is particularly detrimental to the spine?,Psychosocial stress,Lack of exercise,Cannabis Use,Nicotine use
"You are evaluating a 26-y/o male patients status post arthroscopic surgery. The physician requests that you may evaluate the muscles that insert into the pes anserinus. You may have the patients flex the knee medially rotate the leg while the knee is flexed. Of the muscles listed below, which are you not evaluating?",Semitendinosus,Sartorius,Gracilis,Semimembranosus
You are treating a patient secondary to a foot injury. The patients report that his podiatrist thought the spring ligaments was injured as a,It is also called the plantar calcaneocuboid ligaments,It is called the short plantar ligament,The spring ligaments is not highly elastic,It helps to maintain the medial arch of the foot by supporting the head of the talipes.
The patient who has a lesion of the inferior gluteal nerve is referred to the clinic. Which of the following motions would most likely be affected to the greatest extent secondary to an inferior gluteal nerve lesion?,Hip adduction,Hip flexion,Hip Abduction,Hip Extension
The physician has sent a patient to the clinic for a brace that will assist in controlling knee rotation and adduction. Which of the following ligaments was not likely injured?,Anterior cruciate ligament,Medial collateral ligament,Posterior cruciate ligament,Lateral collateral ligament
"When performing therapeutic ultrasound on a patient, it is important to be aware of contraindication for its utilization. One contraindication is performing Ultrasound over the epiphyseal or growth plate of a child. Which of the following statement is not true concerning the growth plate?",It is formed of cartilage,It serves as a site of progressive lengthening that is needed in the long bones,It lies between the epiphysis and diaphysis as a transverse disc,It is found in all bones
Bursae may be found in most locations within the body. In which of the following anatomical areas would the bursae most likely not found?,Subtendinous,Subcutaneous,Subfacial,Intramuscular
"Upon chart review the patient has the following in their medical history: lupus erythematous, scleroderma and dermatomycosis. They can be the best be grouped together as which of the following?",Ehler-Danos Syndrome,Rheumatoid Disorders,Multiple Sclerosis,Collagen Vascular Diseases
"You are treating a patient with a disease that involves the arteries and veins of the lower extremity. The symptoms are inflammation, venous thrombosis, and ischemia of the feet. Which of the following diseases is being described by the professor?",Embolic Diseases,Raynaud's Disease,Thrombophlebitis,Thromboangitia Obliterans
You are treating a patient who is complaining of left shoulder pain. The patients have been diagnosed with frozen adhesive capsulated shoulder. Which of the following would describe the capsular pattern of the glenohumeral joint?,"External rotation, internal rotation, abduction","Flexion, abduction, external rotation","Abduction, external rotation, internal rotation","External rotation, abduction, internal rotation"
"You are treating a patient with a leg injury. Reading the patients past medical history, you note that the superficial peroneal nerve has been severed. Which of the following muscle would be emphasized in your treatment program.",Tibialis anterior,Peroneous tertius,Extensor hallucis longus,Peroneous brevis
It is important to consider cardiac muscle versus skeletal muscle. It is known that the cardiac muscle is physiologically different from skeletal muscle. Which of the following statement best describe this?,No bony attachment,The actin and myosin filaments produce a different type of striation,It does not developed a length-tension relationship,It dividies into atrial and ventricular proportions
Cardiac output refers to the amount of blood pump the heart in a specific time period. Which of the following best describe cardiac output?,Blood pump by the heart per beat,Beat to beat variation of the heart,Blood pumped by the heart at rest,Blood pumped by the heart in 1 minute
You are working with a patient who has small stroke volume and pulse pressure. Which of the following lesions does the patients most likely have?,Artherosclerosis,Atrial Fibrillation,Myocardial Infarction,Mitral stenosis
Which of the following is the most frequent location for a myocardial infarction to occur?,Septum,Right ventricle,Left atrium,Left ventricle
Which of the following is the most common cause of CVA (cerebrovascular accident) in older adults?,Aneurysm,High blood pressure,Hemmorhage,Thrombosis
Which of the following actions of the drug Digitoxin is common in a patient with chronic congestive heart failure?,Positive chronotrope,No effect,Negative inotrope,Negative chronotrope
As an onsite medical staff you watch one of the players fall from blow to the head and determined by a field evaluation that he has suffered a concussion. Which of the following best defined as a concussion?,Loss of memory,Any severe force to the head,Swelling of the brain,Temporary state of paralysis of the central nervous system
Rheumatoid arthritis can cause many symptoms in each later stages. Which of the following symptoms would most likely be common in patients who has had rheumatoid arthritis for a long period of time?,Radial deviation of the finger,Enlargement of the Heberden's nodes,Temporary increase in muscle strength,Ulnar deviation of the finger
"In regards to rheumatoid arthritis versus osteoarthritis, which of the following would best describe the etiology of osteoarthritis?",Recent trauma to the joint,Cachexia,Degeneration caused by inflammation,Degeneration caused by inflammation and aging
Which of the following definition best describe the anatomical dead space?,An inelastic portion of the bronchial tree,Alveoli that have very little vascular,Alveoli that are not innervated,Alveoli that do not participate in gas exchange
"You are in physiology class studying tissue excitation. In regards to the strength-duration curve, which of the following is not a true statement?",It may be considered valuable in testing the nerve degeneration,It may be considered valuable in testing for a nerve regenerations,It may be considered valuable to reveal current intensity to the duration of the reaching a threshold,It exhibits development and fatigue during a prolonged stimulation
"In a class on physiology of exercise, you are studying the energy needed for muscle contractions. Which of the following statements is false in regard to energy for muscle contraction?",Energy is produced during aerobic metabolism,Energy is reduce during anaerobic metabolism,Energy is derived from ATP (adenosine Triphosphate),Energy may be stored as a creatine phosphate
"Consider diabetes mellitus versus diabetes insipidus. Which of the following statement is not true about diabetes mellitus, but best describe diabetes insipidus?",Is a disorder of carbohydrate metabolism,It results from insulin deficiency,It results from issues with the pancreas,It results in issues with the pituitary gland
Which of the following gestational timeframes is the most susceptible for injury to the fetal cardiovascular system? It is during this timeframe that the fetal cardiovascular system produces most congenital defects.,The first 21 days,The sixth month,After 40 days,Between the days 21 and 40
You are treating a patient with an injury to the skin as a result of exposure to excessive heat. Which of the following listed below will be the first response to this type of skin injury?,Fluid will seep into the damaged tissues,Phagocytes will remove dead cells and debride the area,Blood clotting will occur,Blood vessles with dilate and become more permeable 
"When examining isometric, isokinetic, isotonic, and eccentric contractions, each form of exercise has its trade-offs . One particular exercise loads the muscle at the weakest point and the momentum factor in lifting. Which type of exercise is this?",Isometric,Isokinetic,Plyometric,Isotonic
You are treating a patient with a lesion in the frontal lobe of the cerebral hemisphere. Which of the following would most likely be affected?,Vision,Sensory perception and interpretation,Hearing and comprehension of speech,Personality and speech
You are treating a patient with a lesion in a lesion of the occipital lobe of the cerebral hemisphere. Which of the following are most likely involved?,Personality and speech,Sensory perception and interpretation,Hearing and comprehension of speech,Vision
You are treating a patient with a lesion in a lesion of the parietal lobe of the cerebral hemisphere. Which of the following are most likely involved?,Personality and speech,VIsion,Hearing and comprehension of speech,Sensory preception and interpretation
You are treating a patient with a lesion in a lesion of the temporal lobe of the cerebral hemisphere. Which of the following are most likely involved?,Personality and speech,Sensory perception and interpretation,Vision,Hearing and comprehension of speech
30-year-old female tests positive for shoulder dislocation. This patient may have complications as a result of this shoulder dislocation. Which of the following would most likely be involved if the patient were to have complications?,Axillary artery,Radial nerve,Radial artery,Axillary nerve
Which of the following would best describe this spina bifida myelocele?,A soft tissue tumor in the meninges,A soft tissue tumor in the spinal cord,A herniated sac contained within the spinal cord,The most severe form of spina bifida
You are treating someone with a diagnosis of a lesion in the lateral cord of the brachial plexus. Which of the following would you most likely detect upon treatment of this patient?,Paralysis of the deltoid,Paralysis of wrist extension,Paralysis of the hand,"Paralysis of the biceps, coracobrachialis, and finger flexors"
"You are performing physical therapy on a patient status post cerebrovascular accident. The patient is having difficulty with trunk control and transfers from supine to sit and left to right sidelying. In performing PNF techniques on this patient, which of the following would be best to utilize to assist this patient?",Hold and relax,Rhythmic stabilization,Rhythmic reversal,Rhythmic initiation
"In studying the pulmonary system of a patient, you are discussing the site of gas exchange in the pulmonary system. Which of the following is the most likely site of gas exchange?",Bronchi,Brachialis,Trachea,Alveoli 
You are performing a passive range of motion on a pulmonary patient. What effect will passive range of motion have on this patient’s pulmonary ventilation?,No effect,An undetermined effect,A response proportional to the speed and duration of exercises administered,A response proportional to the number of joints involved in passive range of motion
"You have an older patient who has episodes of bronchitis, airway hyper-responsiveness. Which of the following would your patient most likely be experiencing?",Emphysema,Brcohitis,Cystic Fibrosis,Asthma
You have an older patient who has episodes of dyspnea and cough with sputum. Which of the following would your patient most likely be experiencing?,Asthma,Brcohitis,Cystic Fibrosis,Emphysema
You have an elderly patient has been positioned on his side. You would anticipate that which of the following areas would be potential sites of pressure sores?,Sacrum,Occiput,Heels,Ankles
"The patient is a 26-year-old male, status post ankle fracture. The physician orders mobilization to increase joint range of motion. Which of the following is the maximum loose- packed position of the ankle joint?",15 degrees plantarflexion,5 degrees plantarflexion,Neutral,10 degrees plantarflexion
You are treating a patient status post total hip replacement. You notice in the patient’s chart that the patient has received a cemented total hip replacement. Which of the following is not an advantage of a cemented hip?,It allows early weight bearing,There is a 90% success rate,There is less postoperative pain,It requires less bone tissue removal
In class you are studying the elbow joint and optimum force output. Which of the following would be the position for elbow flexion in terms of the greatest advantage of optimum force output?,90 degrees elbow flexion,120 degrees elbow flexion,Combination of flexion and supination,Midposition and or semiprone
Which of the following actions of the rotator cuff muscles produce in combination?,Abduction of the shoulder,External rotation of the shoulder,Pulling the humerus upward and outward,Depression of the head of the humerus
"Your patient is a 26-year-old paraplegic. You are observing the patient standing with braces for a prolonged time. For the paraplegic, prolonged standing with braces in a lordotic position may result in which of the following?",Stretching of the hip flexors,Stretching of the hip extensors,Stretching of the ischiofemoral ligament,Stretching of the hip extensors and iliofemoral ligament
You are in anatomy class studying motions of the wrist. It is known that the motion that the wrist produces is actually a combination of several motions at several different articulations. Which of the following would best describe the axis of motion for the radial and ulnar deviation?,It lies in the coronal plane through the lunate,It lies in the sagittal plane through the trapezoid,It lies in the coronal plane through the capitate,It lies in the sagittal plane through the capitate
"You are performing a test on a patient for hip flexor length. Upon testing the hip, the extremity being tested abducts and remains slightly flexed when lowered to the table. Which of the following would you most likely suspect of muscle tightness?",Semitendinosus,Rectus femoris,Psoas major,Tensor fascia latae
In your assessment you decide to measure normal expansion at the xiphoid process. Which of the following would be the normal value for expansion when measured at the xiphoid process?,.5 to 1.0 in,5 to 10 in,.5 to 1.0 cm,5 to 10 cm
You are performing a postural examination on a 16-year-old athlete. Upon posture evaluation you notice that the patient has pronated feet. Which of the following would best describe this condition?,Lateral convexity of the Achilles’ tendon due to a medical weight line,Eversion of the calcaneus with lateral convexity of the Achilles’ tendon,Inversion of the calcaneus with a medical weight line,Eversion of the calcaneus with a medical weight line
You are in rheumatology class studying degenerative joint disease. Time instructor asks you where Heberden's nodes are most frequently located as a result of degenerative joint disease. Which of the following is the correct answer?,Distal and proximal interphalangeal joints of the fingers,Distal and proximal interphalangeal joints of the fingers and toes,Distal interphalangeal joints of the toes,Distal interphalangeal joints of the fingers
You are performing a gait evaluation on a cross-country track runner who pulled a hamstring muscle. During which period of time in the patient's gait cycle would the hamstring muscle be the most active?,Midstance to heel-off,Swing phase,Acceleration to midwsing,Midswing to deceleration
You are performing palpation on a patient with general lower back pain. Which of the following landmarks would be most helpful to isolate the 14 vertebral level upon palpation of this patient?,"Anterior superior iliac spine, superior border of the patella, tibial tubercle",Posterior superior iliac spine,Greater trochanter,Iliac crest
"Your patient is a 60-year-old female with a diagnosis of a herniated disc between vertebrae C6 and C7. During a conversation with the physician, they inform you that the patient has a C7 nerve root impingement. Upon testing this patient, you expect weakness in all of the following motor activities except for which one?",Finger flexion,Finger extension,Elbow extension,Wrist flexion
You are performing ultrasound under water to a patient’s left hand. In performing the ultrasound underwater which of the following would be the most important safety factor to be considered?,Utilizing a plastic bucket instead of a metal whirlpool,Keeping the ultrasound head moving,Keeping the ultrasound watts per centimeters squared under 1.0,Connecting the ultrasound to a ground fault interruption circuit
You have been referred to a patient being brought into the emergency room with severe bums on both posterior lower extremities. The physician instructs you to begin working with this newly admitted burn patient. Which of the following would be your first priority?,Performing an evaluation on the wound area,Splinting to control contractures and edema,Closing the wound,"Beginning immediate wound cleaning, debridement, and sterile dressing"
"The physician has instructed you to perform ultrasound under water secondary to a patient experiencing foot pain in the medial arch. When administering ultrasound underwater, which of the following would be the best position for the sound head?",The sound head should be in direct contact with the medial arch of the foot,The sound head should be approximately 3 inches away from the medial arch of the foot,The sound head should be approximately 3.5 inches from the medial arch of the foot,The sound head should be approximately 1 inch away from the medial arch of the foot
You are to lead an exercise group of 30 geriatric patients at the local community center. The physician suggests that you emphasize areas that typically show reduced range of motion for geriatric patients. Which of the actions listed below would not be an emphasis of your program?,Hip extension,Chin tucks,Pectoralis muscle stretch,Hip flexion
"During the swing phase, acceleration stage, which muscles remain active throughout the entire stage to help shorten the extremity so it can clear the ground by holding the ankle in a neutral position?","Tibialis posterior, peroneus brevis","Tibialis anterior, peroneus tertius","Tibialis posterior, peroneus tertius, extensor hallucis longus","Tibialis anterior, peroneus tertius, extensor hallucis longus"
"During the swing phase, deceleration stage, which muscles contract to slow down the swing phase just prior to heel strike, thus permitting the heel to strike quietly in a controlled manner?",Gluteus maximus,Gluteus medius,Vastus intermedialis,Biceps femoris
"Your patient is an 18-year-old male who was seriously injured in a motorcycle accident. The radiology examination reveals a fracture described as one in which the ends are driven into each other. Of the choices listed below, what is the typical name for this type of fracture?",Communited,Displaced,Intra-articular,Impacted
Muscular contraction of the cardiac chambers is different from the electrical conduction system. The normal conduction pathway for muscular contraction of the heart to follow is which of the patterns listed below?,Left ventricle,"Left atrium, right atrium, ventricles","Septum, left atrium, ventricle","RIght atrium, left atrium, ventricles"
The sinus node acts as the pacemaker in the heart. The sinus node is a group of cardiac cells that discharges an impulse. Where is the sinus node located in the heart?,Right atrium,Right ventricle,Left ventricle,Left atrium
You observe a 65-year-old male with pectus carinatum. Which of the following best describes his condition?,"Sternum is displaced posteriorly, increasing anterior-posterior diameter",Lower portion of the sternum is depressed,Lateral diameter of the chest is increased,"Sternum is displaced anteriorly, increasing anterior-posterior diameter"
"A patient enters the clinic with an injury to the brachioradialis muscle of the left forearm. The patient was injured when he was delivering a piano and the lid slammed down on his forearm. The patient now has limited action of the left forearm. With an injury to the brachioradialis muscle, which action/actions would now be limited in this patient?",Forearm supination,"Forearm supination, elbow flexion, wrist flexion","Forearm pronation, elbow flexion","Forearm pronation, supination, elbow flexion"
"Several muscles in the body have dual innervation, which is innervation by more than one nerve. Which of the following muscles does not have dual innervation?",Flexor digitorum profundus,Flexor pollicis brevis,Lumbricals,Flexor carpi ulnaris
A 22 year old football player enters the emergency room with an anterior tibialis muscle injury sustained during practice. The patient has significant bruising and discoloration in the area. Which nerve innervates the anterior tibialis muscle and may be tested in this patient?,Lateral plantar nerve,Superior peroneal nerve,Tibialis nerve,Deep peroneal nerve
Which group of muscles listed below attaches to the ischial tuberosity?,"Biceps femoris, semitendinosus","Adductor magnus, semimembranosus","Adductor magnus, semitendinosus","Semimembranosus, biceps femoris, semitendinosus"
You are asked to perform the test for reflex of nerve C5. Which of the following should be tested?,Elbow flexion,Elbow extension,Brachioradialis,Biceps
"You are treating a patient with a diagnosis of Bell’s palsy. Of the following, which nerve would you determine to be injured in this patient?",Trigeminal Nerve V3,Trigeminal Nerve V2,Trigeminal Nerve V1,Facial nerve
You are evaluating a patient with a repetitive motion injury from work. You have tested the patient’s pronation/supination of the forearm and wrist flexion/extension. Which of the following muscles does not assist in pronation of the radioulnar joint?,Brachioradialis,Flexor Carpi Radialis,Pronator Quadratus,Brachialis
A rock climber severely injures the second and third digits of his hand. The hand surgeon reports that the nerves in the second and third digits have been permanently injured. Which nerve/nerves would be injured?,Ulnar nerve,Radial nerve,Ulnar and median nerve,Median nerve
Which of the following is not a characteristic typically seen with an upper motor lesion?,Hyperreflexia,Spasticity,Positive Babinski Sign,Muscle Atrophy
"A 30 year-old the triathlete has just completed a competitive event in swimming, biking, and running. The patient has significant delayed onset muscle soreness (DOMs) after this event. Which of the following may build up in the body and contribute to DOMs?",Glycogen,Fatty acids,Lactic Acid,Prostaglandins and bradykinins
"In determining a target heart rate for a 50-year-old patient, you would use the calculation for maximum heart rate. Which of the following best describes the calculation for maximum heart rate?",Pulse rate for 60 seconds,"Count pulse for 15 seconds x 4, plus age",220 + Age,220 - Age
A patient is being evaluated 1 day postoperative of a cardiac bypass surgery for possible placement in the acute inpatient cardiac rehab program. The patient’s blood pressure reading indicates hypertension. Which of the following readings would be considered indicative of hypertension?,120/ 80 mmHg,Above 120/ 80 mmHg,Above 140/ 90 mmHg,Under 120/ 90 mmHg
A patient comes to you from the hand surgeon with a request to specifically evaluate the anatomical snuffbox. The hand surgeon is concerned that the patient might have suffered an injury to the nerve crossing the anatomical snuffbox. Of the following nerves which would you need to evaluate?,Median,Ulnar,Musculocutaneous,Radial
"A patient comes to you status post ankle sprain which is healing well. The patient needs to increase range of motion to resume full activity. Of the following, which movement will take place in the ankle subtalar joint?",Pronation/Supination,Adduction/Abduction,Dorsiflexion,Eversion/Inversion
An 8-year-old child enters the clinic with a diagnosis of fracture of the distal radius. There is concerned about possible nerve damage. A fracture of the distal radius will result in possible nerve damage to which nerve?,Musculocutaneous,Ulnar,Median,Radial
A patient comes to the clinic with a swollen right thumb. He reports that he was at work operating a press machine when the press closed and caught his thumb. The patient will need joint immobilization to restore range of motion; otherwise he has escaped with minimal injury. The carpometacarpal joint of the thumb is classified as what type of joint?,Synovial,Uniaxial,Hinge,Saddle
A muscle is known to have a proximal and distal attachment. It is necessary to know the attachments for palpation and manual muscle tests. Which of the following is the proximal attachment of a limb muscle?,Tendon,Insertion,Muscle belly,Origin
